Feature_Set,Num_Features,Train_R2,Test_R2,Test_RMSE,Test_MAE,CV_R2_Mean,CV_R2_Std
All Preprocessed Features,35,0.6233645070118817,0.6422882619791319,5.520993154073495,4.233431738059422,0.5557730633980238,0.14736263772884936
Linear Regression RFE,22,0.6218807767487857,0.6401344354923131,5.5375894997134205,4.238368588314808,0.5592677070172906,0.14549793792428775
Random Forest RFE,21,0.612854997842267,0.6353308494856549,5.574425627669823,4.301197782048687,0.5447881305231791,0.14359306751459291
Consensus Features,11,0.607189124520833,0.6304873251718566,5.611323187644475,4.3298377551694,0.5412844034409556,0.1441505513737735
Top 15 Features,15,0.6131572547303658,0.636555528152764,5.565057380439933,4.286853362852526,0.5456700991701294,0.1493731989198455
Top 10 Features,10,0.57908151467156,0.595933489504115,5.867823491572217,4.5471608164204556,0.5558628364636602,0.0505735276840251
